data,trip_creation_time,route_schedule_uuid,route_type,trip_uuid,source_center,source_name,destination_center,destination_name,od_start_time,od_end_time,start_scan_to_end_scan,is_cutoff,cutoff_factor,cutoff_timestamp,actual_distance_to_destination,actual_time,osrm_time,osrm_distance,factor,segment_actual_time,segment_osrm_time,segment_osrm_distance,segment_factor
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1232,17-09-2018 05:13,1232.6326814608385,2164,1188,1657.1552,1.8215488215488216,24,17,28.3624,1.411764705882353
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1254,17-09-2018 04:43,1254.8709905430896,2194,1207,1660.4981,1.8177299088649543,29,22,31.5063,1.318181818181818
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1276,17-09-2018 04:19,1277.0494450579065,2217,1224,1684.4173999999998,1.8112745098039216,23,16,23.9193,1.4375
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1298,17-09-2018 03:51,1299.2895828221822,2246,1246,1715.4711000000002,1.8025682182985556,28,21,31.0537,1.3333333333333333
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1320,17-09-2018 03:31,1320.393375355213,2266,1262,1738.4929,1.7955625990491284,20,16,23.0218,1.25
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1342,17-09-2018 02:49,1343.6432139219305,2308,1280,1762.9341000000002,1.803125,41,17,24.4412,2.411764705882353
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1364,17-09-2018 02:23,1365.4217653598737,2334,1301,1792.9964,1.7940046118370483,25,21,30.0622,1.1904761904761905
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1386,17-09-2018 01:59,1386.6309004099776,2357,1319,1818.3624,1.7869598180439727,23,17,25.366,1.3529411764705883
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1408,17-09-2018 01:35,1409.3971203187898,2382,1338,1845.1162,1.7802690582959642,24,19,26.7538,1.263157894736842
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1430,17-09-2018 00:59,1430.3964768982728,2417,1356,1868.3605,1.7824483775811208,35,17,23.2442,2.0588235294117645
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1452,17-09-2018 00:29,1453.0675951499916,2448,1379,1899.0676,1.7751994198694707,30,22,30.7071,1.3636363636363635
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1474,17-09-2018 00:01,1475.3873500670932,2476,1398,1926.7968,1.7711015736766809,28,19,27.7292,1.4736842105263157
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1496,16-09-2018 23:39,1497.0768071040122,2498,1415,1950.013,1.7653710247349823,22,16,23.2162,1.375
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1518,16-09-2018 23:15,1519.6023221197324,2522,1418,1934.7404,1.778561354019746,23,17,24.3034,1.3529411764705883
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1540,16-09-2018 22:29,1540.8716849614043,2568,1434,1957.3099,1.790794979079498,46,16,22.2024,2.875
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1562,16-09-2018 22:05,1562.6774725441403,2592,1450,1980.0473,1.7875862068965518,23,16,22.7374,1.4375
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1584,16-09-2018 21:41,1585.3081839619065,2616,1472,2004.7888,1.7771739130434785,24,22,24.7415,1.0909090909090908
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1606,16-09-2018 21:15,1606.645544809808,2642,1498,2032.1889,1.7636849132176236,25,25,27.4001,1
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1628,16-09-2018 20:51,1628.5490772854014,2666,1520,2055.8455,1.7539473684210527,24,22,23.6567,1.0909090909090908
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1650,16-09-2018 20:29,1651.2301018081976,2688,1519,2078.155,1.7695852534562213,22,22,24.2461,1
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1672,16-09-2018 20:05,1672.7429004670205,2712,1525,2088.9876,1.778360655737705,23,21,23.2234,1.0952380952380951
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1694,16-09-2018 19:37,1694.6681638690525,2740,1530,2083.4596,1.7908496732026145,27,23,26.9197,1.173913043478261
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,FALSE,1690,16-09-2018 19:05,1690.0776119183688,2772,1526,2071.5015,1.816513761,32,24,20.565,1.3333333333333333
training,06:36.6,thanos::sroute:b743d024-a50a-40a4-8ffd-e3b420b7534e,Carting,trip-153764679660434205,IND400072AAB,Mumbai Hub (Maharashtra),IND401104AAA,Mumbai_MiraRd_IP (Maharashtra),06:36.6,44:11.7,97,TRUE,9,22-09-2018 21:17,9.975602248862693,21,8,11.5577,2.625,21,8,11.5577,2.625
training,06:36.6,thanos::sroute:b743d024-a50a-40a4-8ffd-e3b420b7534e,Carting,trip-153764679660434205,IND400072AAB,Mumbai Hub (Maharashtra),IND401104AAA,Mumbai_MiraRd_IP (Maharashtra),06:36.6,44:11.7,97,FALSE,16,22-09-2018 20:45,16.80034028575959,53,17,20.7867,3.117647058823529,32,8,9.229,4
training,43:50.5,thanos::sroute:0d5638a5-ae50-437b-907e-c1750f9d9677,Carting,trip-153734663046687983,IND560058AAD,Bengaluru_Peenya_L (Karnataka),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),43:50.5,50:10.6,126,TRUE,9,19-09-2018 09:37,9.162212958326531,23,18,12.3261,1.2777777777777777,23,18,12.3261,1.2777777777777777
training,43:50.5,thanos::sroute:0d5638a5-ae50-437b-907e-c1750f9d9677,Carting,trip-153734663046687983,IND560058AAD,Bengaluru_Peenya_L (Karnataka),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),43:50.5,50:10.6,126,FALSE,10,19-09-2018 09:31,10.583412023333269,30,22,14.8779,1.3636363636363635,6,4,2.551,1.5
test,00:57.5,thanos::sroute:6d3a5b56-1723-4b19-a9ed-fd7d16fb889b,Carting,trip-153838445747914212,IND400072AAB,Mumbai Hub (Maharashtra),IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),00:57.5,48:46.3,227,TRUE,9,01-10-2018 10:11,9.380550362082882,32,8,12.4918,4,32,8,12.4918,4
test,00:57.5,thanos::sroute:6d3a5b56-1723-4b19-a9ed-fd7d16fb889b,Carting,trip-153838445747914212,IND400072AAB,Mumbai Hub (Maharashtra),IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),00:57.5,48:46.3,227,TRUE,18,01-10-2018 09:57,18.495677585956244,46,15,21.7501,3.066666666666667,14,6,9.258299999999998,2.333333333333333
test,00:57.5,thanos::sroute:6d3a5b56-1723-4b19-a9ed-fd7d16fb889b,Carting,trip-153838445747914212,IND400072AAB,Mumbai Hub (Maharashtra),IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),00:57.5,48:46.3,227,FALSE,20,01-10-2018 09:39,20.93072861578964,64,21,26.2068,3.0476190476190474,18,6,5.6372,3
training,37:26.8,thanos::sroute:2a6f162f-d995-46e1-aed7-2f9bd8b7ae64,FTL,trip-153742184680303710,IND131028AAB,Sonipat_Kundli_H (Haryana),IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),37:26.8,32:46.0,295,TRUE,22,20-09-2018 09:56,22.916654076754376,31,18,25.6275,1.7222222222222223,31,18,25.6275,1.7222222222222223
training,37:26.8,thanos::sroute:2a6f162f-d995-46e1-aed7-2f9bd8b7ae64,FTL,trip-153742184680303710,IND131028AAB,Sonipat_Kundli_H (Haryana),IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),37:26.8,32:46.0,295,TRUE,44,20-09-2018 09:28,45.49053375720855,59,36,50.8308,1.6388888888888888,28,18,25.2033,1.5555555555555556
training,37:26.8,thanos::sroute:2a6f162f-d995-46e1-aed7-2f9bd8b7ae64,FTL,trip-153742184680303710,IND131028AAB,Sonipat_Kundli_H (Haryana),IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),37:26.8,32:46.0,295,TRUE,66,20-09-2018 09:02,67.32673736621817,85,50,71.18889999999999,1.7,25,16,22.3328,1.5625
training,37:26.8,thanos::sroute:2a6f162f-d995-46e1-aed7-2f9bd8b7ae64,FTL,trip-153742184680303710,IND131028AAB,Sonipat_Kundli_H (Haryana),IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),37:26.8,32:46.0,295,TRUE,88,20-09-2018 08:34,89.30931303899469,113,68,95.8546,1.661764705882353,28,18,24.6657,1.5555555555555556
training,37:26.8,thanos::sroute:2a6f162f-d995-46e1-aed7-2f9bd8b7ae64,FTL,trip-153742184680303710,IND131028AAB,Sonipat_Kundli_H (Haryana),IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),37:26.8,32:46.0,295,TRUE,110,20-09-2018 07:58,110.17087223188554,149,86,119.1197,1.7325581395348837,35,18,23.2651,1.9444444444444444
training,37:26.8,thanos::sroute:2a6f162f-d995-46e1-aed7-2f9bd8b7ae64,FTL,trip-153742184680303710,IND131028AAB,Sonipat_Kundli_H (Haryana),IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),37:26.8,32:46.0,295,TRUE,132,20-09-2018 07:30,132.2021409032346,177,105,147.5604,1.6857142857142855,28,25,35.698,1.12
training,37:26.8,thanos::sroute:2a6f162f-d995-46e1-aed7-2f9bd8b7ae64,FTL,trip-153742184680303710,IND131028AAB,Sonipat_Kundli_H (Haryana),IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),37:26.8,32:46.0,295,TRUE,154,20-09-2018 07:02,154.70148114188302,205,116,163.2593,1.7672413793103448,27,18,26.4728,1.5
training,37:26.8,thanos::sroute:2a6f162f-d995-46e1-aed7-2f9bd8b7ae64,FTL,trip-153742184680303710,IND131028AAB,Sonipat_Kundli_H (Haryana),IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),37:26.8,32:46.0,295,FALSE,174,20-09-2018 06:38,174.82723062029046,229,131,182.7888,1.748091603053435,23,16,21.4555,1.4375
training,09:51.4,thanos::sroute:83c4e520-d90f-4f49-ad90-8ebc4cbe2511,FTL,trip-153739139137589548,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND411033AAA,Pune_Tathawde_H (Maharashtra),09:51.4,21:49.4,311,TRUE,22,20-09-2018 01:29,22.901879093830555,38,24,26.5696,1.5833333333333333,38,24,26.5696,1.5833333333333333
training,09:51.4,thanos::sroute:83c4e520-d90f-4f49-ad90-8ebc4cbe2511,FTL,trip-153739139137589548,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND411033AAA,Pune_Tathawde_H (Maharashtra),09:51.4,21:49.4,311,TRUE,44,20-09-2018 00:55,44.84953145731571,72,43,55.7319,1.6744186046511629,34,28,31.6977,1.2142857142857142
training,09:51.4,thanos::sroute:83c4e520-d90f-4f49-ad90-8ebc4cbe2511,FTL,trip-153739139137589548,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND411033AAA,Pune_Tathawde_H (Maharashtra),09:51.4,21:49.4,311,TRUE,66,20-09-2018 00:19,73.25908441066565,108,68,90.1048,1.588235294117647,36,31,33.4983,1.1612903225806452
training,09:51.4,thanos::sroute:83c4e520-d90f-4f49-ad90-8ebc4cbe2511,FTL,trip-153739139137589548,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND411033AAA,Pune_Tathawde_H (Maharashtra),09:51.4,21:49.4,311,TRUE,88,19-09-2018 23:57,88.07857765396068,130,80,108.4004,1.625,22,13,16.8173,1.6923076923076923
training,09:51.4,thanos::sroute:83c4e520-d90f-4f49-ad90-8ebc4cbe2511,FTL,trip-153739139137589548,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND411033AAA,Pune_Tathawde_H (Maharashtra),09:51.4,21:49.4,311,FALSE,101,19-09-2018 22:59,101.62179440572908,188,99,131.4483,1.898989898989899,57,19,23.0479,3
training,03:58.7,thanos::sroute:c7d1e35b-d990-42d6-abd6-202d2a9d2a95,FTL,trip-153743063874508991,IND411033AAA,Pune_Tathawde_H (Maharashtra),IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),03:58.7,10:25.6,306,TRUE,22,20-09-2018 10:47,22.374591508162787,99,24,29.3885,4.125,99,24,29.3885,4.125
training,03:58.7,thanos::sroute:c7d1e35b-d990-42d6-abd6-202d2a9d2a95,FTL,trip-153743063874508991,IND411033AAA,Pune_Tathawde_H (Maharashtra),IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),03:58.7,10:25.6,306,TRUE,44,20-09-2018 09:55,45.54925070387405,151,45,55.4291,3.355555555555556,51,21,26.0406,2.4285714285714284
training,03:58.7,thanos::sroute:c7d1e35b-d990-42d6-abd6-202d2a9d2a95,FTL,trip-153743063874508991,IND411033AAA,Pune_Tathawde_H (Maharashtra),IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),03:58.7,10:25.6,306,TRUE,66,20-09-2018 09:21,69.52643710697483,186,71,88.5331,2.619718309859155,34,30,35.2043,1.1333333333333333
training,03:58.7,thanos::sroute:c7d1e35b-d990-42d6-abd6-202d2a9d2a95,FTL,trip-153743063874508991,IND411033AAA,Pune_Tathawde_H (Maharashtra),IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),03:58.7,10:25.6,306,TRUE,88,20-09-2018 08:49,89.18208926015323,218,98,116.8267,2.224489795918368,31,26,28.2936,1.1923076923076923
training,03:58.7,thanos::sroute:c7d1e35b-d990-42d6-abd6-202d2a9d2a95,FTL,trip-153743063874508991,IND411033AAA,Pune_Tathawde_H (Maharashtra),IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),03:58.7,10:25.6,306,FALSE,101,20-09-2018 08:25,101.68758107637518,242,103,130.124,2.349514563106796,23,14,15.4645,1.6428571428571428
test,10:38.3,thanos::sroute:eb7cb681-acab-41a4-91e4-26e67baea395,FTL,trip-153828063828252978,IND131028AAB,Sonipat_Kundli_H (Haryana),IND244001AAA,Moradabad_DC (Uttar Pradesh),10:38.3,44:26.7,693,TRUE,22,30-09-2018 14:47,23.05446707129405,27,19,23.8319,1.4210526315789471,27,19,23.8319,1.4210526315789471
test,10:38.3,thanos::sroute:eb7cb681-acab-41a4-91e4-26e67baea395,FTL,trip-153828063828252978,IND131028AAB,Sonipat_Kundli_H (Haryana),IND244001AAA,Moradabad_DC (Uttar Pradesh),10:38.3,44:26.7,693,TRUE,44,30-09-2018 14:17,44.170040808128334,57,34,44.9889,1.6764705882352942,30,14,21.157,2.142857142857143
